Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
M,298.1,308.6,1551.0,42.8,0.0,0,No Failure
L,298.2,308.7,1408.0,46.3,3.0,0,No Failure
L,298.1,308.5,1498.0,49.4,5.0,0,No Failure
L,298.2,308.6,1433.0,39.5,7.0,0,No Failure
L,298.2,308.7,1408.0,40.0,9.0,0,No Failure
M,298.1,308.6,1425.0,41.9,11.0,0,No Failure
L,298.1,308.6,1558.0,42.4,14.0,0,No Failure
L,298.1,308.6,1527.0,40.2,16.0,0,No Failure
M,298.3,308.7,1667.0,28.6,18.0,0,No Failure
M,298.5,309.0,1741.0,28.0,21.0,0,No Failure
H,298.4,308.9,1782.0,23.9,24.0,0,No Failure
H,298.6,309.1,1423.0,44.3,29.0,0,No Failure
M,298.6,309.1,1339.0,51.1,34.0,0,No Failure
M,298.6,309.2,1742.0,30.0,37.0,0,No Failure
L,298.6,309.2,2035.0,19.6,40.0,0,No Failure
L,298.6,309.2,1542.0,48.4,42.0,0,No Failure
M,298.6,309.2,1311.0,46.6,44.0,0,No Failure
M,298.7,309.2,1410.0,45.6,47.0,0,No Failure
H,298.8,309.2,1306.0,54.5,50.0,0,No Failure
M,298.9,309.3,1632.0,32.5,55.0,0,No Failure
H,298.9,309.3,1375.0,42.7,58.0,0,No Failure
L,298.8,309.3,1450.0,44.8,63.0,0,No Failure
M,298.9,309.3,1581.0,30.7,65.0,0,No Failure
L,299.0,309.4,1758.0,25.7,68.0,0,No Failure
M,299.0,309.4,1561.0,37.3,70.0,0,No Failure
L,299.0,309.5,1861.0,23.3,73.0,0,No Failure
L,299.1,309.5,1512.0,39.0,75.0,0,No Failure
H,299.1,309.4,1811.0,24.6,77.0,0,No Failure
L,299.1,309.4,1439.0,44.2,82.0,0,No Failure
L,299.0,309.4,1693.0,30.1,84.0,0,No Failure
M,299.1,309.5,1339.0,48.2,86.0,0,No Failure
L,299.0,309.4,1798.0,25.5,89.0,0,No Failure
L,299.0,309.4,1419.0,48.3,91.0,0,No Failure
L,298.9,309.3,1665.0,32.5,93.0,0,No Failure
M,298.8,309.1,1559.0,34.7,95.0,0,No Failure
M,298.8,309.2,1452.0,48.6,98.0,0,No Failure
M,298.9,309.2,1581.0,36.7,101.0,0,No Failure
